UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10106";"ESPATULA AÇO CROMADO 3,5CM 1 1/2  6255/6 ATLAS";"";"ATLAS";"UN";5,20;12,00;0,00;62,40;3,24;0,00;0,00;0,00;0,00;2,50;0,00;65,64
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"020028.20245";"ESPATULA PLASTICA CELULOIDE 13,1CM 152/2 ATLAS";"";"ATLAS";"UN";1,19;60,00;0,00;71,40;6,96;0,00;0,00;0,00;0,00;5,00;0,00;78,36
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.23878";"GARFO GAIOLA S/ ROSCA AÇO 400/23SR ATLAS";"";"ATLAS";"UN";5,40;120,00;0,00;648,00;32,40;0,00;0,00;0,00;0,00;45,36;0,00;680,40
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84439";"PROLONGADOR EXTENSOR DE ACO 3M 1700 ATLAS";"";"ATLAS";"UN";25,44;12,00;0,00;305,28;15,26;0,00;0,00;0,00;0,00;21,37;0,00;320,54
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.87183";"PROLONGADOR EXTENSOR DE ACO 5M 18005 ATLAS";"";"ATLAS";"UN";157,00;6,00;0,00;942,00;61,23;0,00;0,00;0,00;0,00;37,68;0,00;1.003,23
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84430";"ROLO BRASILEIRINHO 23CM AT2014 ATLAS";"";"ATLAS";"UN";12,71;36,00;0,00;457,56;0,00;0,00;0,00;0,00;0,00;32,03;0,00;457,56
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84435";"ROLO DE LA MISTA 23CM 228/22 ATLAS";"";"ATLAS";"UN";13,04;12,00;0,00;156,48;0,00;0,00;0,00;0,00;0,00;6,26;0,00;156,48
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84427";"ROLO ESPUMA POLYESTER CINZA 15CM 406/15 ATLAS";"";"ATLAS";"UN";5,08;120,00;0,00;609,60;0,00;0,00;0,00;0,00;0,00;42,67;0,00;609,60
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84425";"ROLO ESPUMA POLYESTER CINZA 5CM 406/5 ATLAS";"";"ATLAS";"UN";2,59;144,00;0,00;372,96;0,00;0,00;0,00;0,00;0,00;26,11;0,00;372,96
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84426";"ROLO ESPUMA POLYESTER CINZA 9CM 406/9 ATLAS";"";"ATLAS";"UN";3,18;144,00;0,00;457,92;0,00;0,00;0,00;0,00;0,00;32,05;0,00;457,92
