UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"020028.23509";"COPO DESCARTAVEL 200ML";"";"BRILHOMAX";"PC";154,55;3,00;0,00;463,65;0,00;0,00;0,00;0,62;0,00;92,85;0,00;464,27
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"999999.22675";"ODORIZADOR AMBIENTE CITRUS 400ML";"";".";"UN";10,32;10,00;0,00;103,20;0,00;0,00;0,00;0,13;0,00;20,67;0,00;103,33
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"999999.22257";"ODORIZADOR AMBIENTE LAVANDA 400ML";"";".";"UN";10,32;10,00;0,00;103,20;0,00;0,00;0,00;0,13;0,00;20,67;0,00;103,33
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"999999.83807";"ODORIZADOR AMBIENTE PIMENTA ROSA 400ML";"";".";"UN";10,32;10,00;0,00;103,20;0,00;0,00;0,00;0,13;0,00;20,67;0,00;103,33
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"999999.22977";"AGUA SANITARIA SUPREMA 5LT";"";".";"UN";13,32;8,00;0,00;106,60;0,00;3,32;0,00;0,14;0,00;19,19;0,00;110,06
"000001405437-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";10/04/2026;"999999.00249";"BALDE REFORÇADO";"";"START";"UN";10,97;5,00;0,00;54,85;0,00;0,00;0,00;0,07;0,00;10,98;0,00;54,92
"000001410524-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";24/04/2026;"020028.87280";"LIXEIRA PVC COPO DUPLA AGUA/CAFE BRANCO PREMISSE";"";"PREMISSE";"UN";48,51;1,00;0,00;48,51;0,00;0,00;0,00;0,25;0,00;9,75;0,00;48,76
"000001410524-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";24/04/2026;"020028.83995";"CESTO METAL TELADO PRETO 12,5LT";"";"ORDENE";"UN";51,20;4,00;0,00;204,80;0,00;0,00;0,00;1,08;0,00;41,18;0,00;205,88
"000001410524-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";24/04/2026;"020020.87003";"PANO MULTIUSO 28CMX240M BRANCO";"";"INOVE";"UN";79,93;6,00;0,00;479,58;0,00;0,00;0,00;2,57;0,00;96,43;0,00;482,15
"000001416536-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";11/05/2026;"020020.87003";"PANO MULTIUSO 28CMX240M BRANCO";"";"INOVE";"UN";79,93;8,00;0,00;639,44;0,00;0,00;0,00;3,90;0,00;128,67;0,00;643,34
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.22987";"PAPEL TOALHA 2D VIRGEM 2000FL 20X20 SOFT CONFORT";"";".";"UN";6,30;36,00;0,00;226,84;0,00;14,78;0,00;0,23;0,00;0,00;0,00;241,85
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.23514";"ESPONJA DUPLA FACE AZULIM-8,64-ST";"";"BRILHOMAX";"UN";5,98;4,00;0,00;23,92;0,00;2,08;0,00;0,02;0,00;0,00;0,00;26,02
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.22986";"PANO SACO XADREZ 60X80CM";"";".";"UN";8,59;20,00;0,00;171,80;0,00;0,00;0,00;0,16;0,00;34,39;0,00;171,96
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"020020.22981";"FLANELA BRANCA G";"FL";"BRILHOMAX";"UN";2,50;60,00;0,00;150,00;0,00;0,00;0,00;0,14;0,00;30,03;0,00;150,14
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"020028.23509";"COPO DESCARTAVEL 200ML";"";"BRILHOMAX";"PC";154,55;6,00;0,00;927,30;0,00;0,00;0,00;0,89;0,00;185,64;0,00;928,19
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.22988";"PAPEL TOALHA ROLO";"";"STYLUS";"UN";49,63;10,00;0,00;496,33;0,00;42,67;0,00;0,51;0,00;89,34;0,00;539,51
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.23540";"SABONETE LIQUIDO 5LT-6,16-ST";"";"TUFF";"UN";36,35;6,00;0,00;218,10;0,00;11,34;0,00;0,22;0,00;0,00;0,00;229,66
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.23897";"ESCOVA SANITARIA C/ SUPORTE";"FL";"START";"UN";9,58;6,00;0,00;57,48;0,00;0,00;0,00;0,05;0,00;11,51;0,00;57,53
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.22977";"AGUA SANITARIA SUPREMA 5LT";"";".";"UN";14,64;6,00;0,00;87,87;0,00;2,73;0,00;0,08;0,00;15,82;0,00;90,68
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.23518";"PAPEL HIGIENICO C/4 30MX10CM-5,67-ST";"";"PERSONAL";"PC";8,71;160,00;0,00;1.392,92;0,00;29,48;0,00;1,42;0,00;0,00;0,00;1.423,82
"000001421564-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";21/05/2026;"999999.23517";"PANO ALVEJADO";"";"BRILHOMAX";"UN";9,42;20,00;0,00;188,40;0,00;0,00;0,00;0,18;0,00;37,72;0,00;188,58
"000001432220-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";17/06/2026;"020027.23515";"LUVA LATEX FORRADA AZUL TAM M";"";"VOLK";"UN";5,08;60,00;0,00;304,80;0,00;0,00;0,00;1,67;0,00;61,29;0,00;306,47
"000001432220-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";17/06/2026;"020027.00029";"LUVA LATEX FORRADA AZUL TAM G";"";"VOLK";"UN";5,08;60,00;0,00;304,80;0,00;0,00;0,00;1,68;0,00;61,30;0,00;306,48
"000001432220-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";17/06/2026;"020027.87360";"ESFREGÃO LAVA ONIBUS S/ CABO 30CM";"";"RODOBEM";"UN";47,34;2,00;0,00;94,68;0,00;0,00;0,00;0,51;0,00;19,04;0,00;95,19
"000001432220-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";17/06/2026;"020027.87359";"CABO PLASTICO C/ ROSCA 1,20MT P/ ESFREGÃO";"";"PRIMEPRO";"UN";3,65;2,00;0,00;7,30;0,00;0,00;0,00;0,04;0,00;1,47;0,00;7,34
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.22986";"PANO SACO XADREZ 60X80CM";"";".";"UN";8,59;50,00;0,00;429,50;0,00;0,00;0,00;0,45;0,00;85,99;0,00;429,95
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.85408";"LAVA LOUÇA NEUTRO 5L";"";"BRILHOMAX";"UN";22,03;6,00;0,00;132,17;0,00;5,11;0,00;0,14;0,00;0,00;0,00;137,42
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.00169";"DESINFETANTE AZULIM MARINER 5LT";"";"MARINER";"GL";26,35;8,00;28,80;210,80;0,00;0,00;0,00;0,22;0,00;42,20;0,00;211,02
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.87024";"LIMPADOR VEJA MULTIUSO 500ML";"";"LAVANDA";"UN";5,40;48,00;0,00;259,34;0,00;10,90;0,00;0,28;0,00;46,68;0,00;270,52
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.23543";"PAPEL HIGIENICO 8X300M GLOBO-2,98-ST";"";"BRILHOMAX";"PC";43,17;3,00;0,00;129,52;0,00;2,93;0,00;0,14;0,00;0,00;0,00;132,59
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.21593";"RODO ALUMINIO C/ CABO 90CM";"";"PRIME";"UN";30,29;5,00;0,00;151,45;0,00;0,00;0,00;0,16;0,00;30,32;0,00;151,61
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.23765";"RODO ALUMINIO C/ CABO 40CM";"";"PRIME";"UN";22,78;5,00;0,00;113,90;0,00;0,00;0,00;0,12;0,00;22,80;0,00;114,02
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.23707";"ALCOOL LIQUIDO 5LT 70%";"";"AUDAX";"UN";39,68;12,00;0,00;476,16;0,00;0,00;0,00;0,58;0,00;95,35;0,00;476,74
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.83807";"ODORIZADOR AMBIENTE PIMENTA ROSA 400ML";"";".";"UN";10,32;36,00;0,00;371,52;0,00;0,00;0,00;0,39;0,00;74,38;0,00;371,91
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.22987";"PAPEL TOALHA 2D VIRGEM 2000FL 20X20 SOFT CONFORT";"";".";"UN";6,54;18,00;0,00;117,64;0,00;7,67;0,00;0,13;0,00;0,00;0,00;125,44
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.22988";"PAPEL TOALHA ROLO";"";"STYLUS";"UN";49,63;3,00;0,00;148,90;0,00;12,80;0,00;0,17;0,00;26,80;0,00;161,87
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"999999.23540";"SABONETE LIQUIDO 5LT-6,16-ST";"";"TUFF";"UN";36,35;12,00;0,00;436,19;0,00;22,69;0,00;0,49;0,00;0,00;0,00;459,37
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"020028.23509";"COPO DESCARTAVEL 200ML";"";"BRILHOMAX";"PC";154,55;3,00;0,00;463,65;0,00;0,00;0,00;0,49;0,00;92,83;0,00;464,14
"000001432505-NF-009";"00000112 - COM.ALVORADA LIMPEZA E DESCARTAVEIS";18/06/2026;"020028.87362";"MANGUEIRA JARDIM TRANÇADA 3 CAMADAS PVC C/ ENGATE 1/2 30MTS";"";"BRILHOMAX";"PC";139,08;1,00;0,00;139,08;0,00;0,00;0,00;0,14;0,00;27,84;0,00;139,22
"000001874394-NF-009";"00000138 - NOVA CASA DIST.MAT P/ CONST-LTDA";18/04/2026;"020056.85622";"ADESIVO INST 100G 793 BICO ANTIENTUPIMENTO TEKBOND";"";"TEK BOND";"UN";24,46;60,00;0,00;1.467,60;0,00;0,00;0,00;0,00;0,00;293,52;0,00;1.467,60
"000001874394-NF-009";"00000138 - NOVA CASA DIST.MAT P/ CONST-LTDA";18/04/2026;"020056.85462";"ADESIVO INST 20G 793 BICO ANTIENTUPIMENTO TEKBOND";"";"TEK BOND";"UN";6,78;100,00;0,00;678,00;0,00;0,00;0,00;0,00;0,00;135,60;0,00;678,00
"000001874394-NF-009";"00000138 - NOVA CASA DIST.MAT P/ CONST-LTDA";18/04/2026;"020028.00064";"BLOCO DE ESPUMA MULTIUSO";"";"FOX FORT";"UN";2,26;120,00;0,00;271,20;0,00;0,00;0,00;0,00;0,00;54,24;0,00;271,20
"000000949010-NF-009";"00000143 - TERRA UTIL. DE MAQUINAS, FERRAMENTAS E UTILID.";16/04/2026;"020028.87271";"ABRAÇADEIRA ROSCA SEM FIM 09-13X9MM";"";"SCHWEERS";"UN";1,20;50,00;0,00;60,00;0,00;5,01;0,00;0,00;0,00;10,80;0,00;65,01
"000000949010-NF-009";"00000143 - TERRA UTIL. DE MAQUINAS, FERRAMENTAS E UTILID.";16/04/2026;"020028.23774";"ADAPTADOR P/ ENGATE RAPIDO MACHO 1/4  AD767M SCHWEERS";"";"SCHWEERS";"UN";3,50;30,00;0,00;105,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;105,00
"000000426947-NF-009";"00000155 - ARCOM S.A.";14/05/2026;"020006.00001";"ALGODAO HIDROFILO 500GR";"";"ISABABY";"UN";19,44;42,00;0,00;816,48;0,00;0,00;0,00;2,99;0,00;57,15;0,00;819,47
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87240";"IMPERMEABILIZANTE AM712 BALDE 18KG RHODOPAS";"";"RHODOPAS";"UN";239,00;10,00;0,00;2.390,00;0,00;0,00;0,00;1,90;0,00;478,38;0,00;2.391,90
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87238";"IMPERMEABILIZANTE AM712 FRASCO 1KG RHODOPAS";"";"RHODOPAS";"UN";21,00;36,00;0,00;756,00;0,00;0,00;0,00;0,61;0,00;151,32;0,00;756,61
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87239";"IMPERMEABILIZANTE AM712 GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";73,35;20,00;0,00;1.467,00;0,00;0,00;0,00;1,18;0,00;293,64;0,00;1.468,18
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87237";"IMPERMEABILIZANTE MANTA LIQUIDA BRANCA BALDE 15KG RHODOPAS";"";"RHODOPAS";"UN";145,00;15,00;0,00;2.175,00;0,00;0,00;0,00;1,75;0,00;435,35;0,00;2.176,75
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87236";"IMPERMEABILIZANTE MANTA LIQUIDA BRANCA GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";47,70;20,00;0,00;954,00;0,00;0,00;0,00;0,77;0,00;190,95;0,00;954,77
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87235";"IMPERMEABILIZANTE PAREDES E FACHADAS BRANCO BALDE 16KG RHODOPAS";"";"RHODOPAS";"UN";119,00;20,00;0,00;2.380,00;0,00;0,00;0,00;1,91;0,00;476,38;0,00;2.381,91
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87234";"IMPERMEABILIZANTE PAREDES E FACHADAS BRANCO GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";30,95;20,00;0,00;619,00;0,00;0,00;0,00;0,50;0,00;123,90;0,00;619,50
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87241";"PRIMER 0,9KG RHODOPAS";"";"RHODOPAS";"UN";7,10;24,00;0,00;170,40;0,00;0,00;0,00;0,14;0,00;34,11;0,00;170,54
"000000258628-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";20/03/2026;"030002.87242";"PRIMER 3,6KG RHODOPAS";"";"RHODOPAS";"UN";24,38;12,00;0,00;292,56;0,00;0,00;0,00;0,24;0,00;58,56;0,00;292,80
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87238";"IMPERMEABILIZANTE AM712 FRASCO 1KG RHODOPAS";"";"RHODOPAS";"UN";27,00;12,00;0,00;324,00;0,00;0,00;0,00;0,44;0,00;64,89;0,00;324,44
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87237";"IMPERMEABILIZANTE MANTA LIQUIDA BRANCA BALDE 15KG RHODOPAS";"";"RHODOPAS";"UN";159,00;15,00;0,00;2.385,00;0,00;0,00;0,00;3,23;0,00;477,65;0,00;2.388,23
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87236";"IMPERMEABILIZANTE MANTA LIQUIDA BRANCA GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";50,08;4,00;0,00;200,32;0,00;0,00;0,00;0,27;0,00;40,12;0,00;200,59
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87355";"IMPERMEABILIZANTE MANTA LIQUIDA CINZA BALDE 15KG RHODOPAS";"";"RHODOPAS";"UN";162,00;10,00;0,00;1.620,00;0,00;0,00;0,00;2,19;0,00;324,44;0,00;1.622,19
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87356";"IMPERMEABILIZANTE MANTA LIQUIDA CINZA GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";59,00;4,00;0,00;236,00;0,00;0,00;0,00;0,32;0,00;47,26;0,00;236,32
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87235";"IMPERMEABILIZANTE PAREDES E FACHADAS BRANCO BALDE 16KG RHODOPAS";"";"RHODOPAS";"UN";130,00;10,00;0,00;1.300,00;0,00;0,00;0,00;1,76;0,00;260,35;0,00;1.301,76
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87234";"IMPERMEABILIZANTE PAREDES E FACHADAS BRANCO GL 3,6KG RHODOPAS";"";"RHODOPAS";"UN";34,04;8,00;0,00;272,32;0,00;0,00;0,00;0,37;0,00;54,54;0,00;272,69
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87241";"PRIMER 0,9KG RHODOPAS";"";"RHODOPAS";"UN";8,50;12,00;0,00;102,00;0,00;0,00;0,00;0,14;0,00;20,43;0,00;102,14
"000000264379-NF-009";"00000156 - PRODESIVO INDUSTRIA E COMERCIO LTDA";12/06/2026;"030002.87242";"PRIMER 3,6KG RHODOPAS";"";"RHODOPAS";"UN";25,90;8,00;0,00;207,20;0,00;0,00;0,00;0,28;0,00;41,50;0,00;207,48
"000000049348-NF-009";"00000172 - KERS IMPORTADORA AUTOMOTIVA KERS IMPORTADORA LTDA";12/02/2026;"020020.87184";"FLANELA MICROFIBRA 40X60CM COM COSTURA AMARELA KERS";"";"KERS";"UN";4,69;1.000,00;0,00;4.690,00;0,00;0,00;230,00;0,00;0,00;196,80;0,00;4.920,00
"000000051361-NF-009";"00000172 - KERS IMPORTADORA AUTOMOTIVA KERS IMPORTADORA LTDA";26/05/2026;"020020.87184";"FLANELA MICROFIBRA 40X60CM COM COSTURA AMARELA KERS";"";"KERS";"UN";4,69;1.000,00;0,00;4.690,00;0,00;0,00;217,75;0,00;0,00;196,31;0,00;4.907,75
"000000051361-NF-009";"00000172 - KERS IMPORTADORA AUTOMOTIVA KERS IMPORTADORA LTDA";26/05/2026;"001024.20802";"FLANELA DE MICRO-FIBRA 40X60 C/ COSTURA KERS";"FL";"KERS";"UN";5,28;50,00;0,00;264,00;0,00;0,00;12,25;0,00;0,00;11,05;0,00;276,25
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.87046";"TACO LIXADOR MANUAL MACIO P/ LIXAS 1200 A 2500 70X130MM PURPLEX";"";"PURPLEX";"UN";11,76;60,00;0,00;705,60;36,69;0,00;0,00;0,00;0,00;49,39;0,00;742,29
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.23750";"TACO LIXADOR MANUAL DE BORRACHA GRANDE 65X122MM PURPLEX";"";"PURPLEX";"UN";11,96;60,00;0,00;717,60;37,32;0,00;0,00;0,00;0,00;50,23;0,00;754,92
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.20154";"TACO LIXADOR MANUAL DE BORRACHA PEQUENO 43X122MM PURPLEX";"";"PURPLEX";"UN";9,44;24,00;0,00;226,56;11,78;0,00;0,00;0,00;0,00;15,86;0,00;238,34
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.87045";"TACO LIXADOR MANUAL RETANGULAR EM E.V.A 70X130MM PURPLEX";"";"PURPLEX";"UN";15,60;60,00;0,00;936,00;48,67;0,00;0,00;0,00;0,00;65,52;0,00;984,67
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.87047";"TACO LIXADOR MANUAL RETANGULAR MEDIO EM E.V.A 70X200MM PURPLEX";"";"PURPLEX";"UN";23,04;36,00;0,00;829,44;43,13;0,00;0,00;0,00;0,00;58,06;0,00;872,57
"000000043721-NF-009";"00000179 - INDUSTRIA DE LIXADORES PURPER LTDA";09/03/2026;"020022.87048";"TACO LIXADOR MANUAL RETANGULAR EXTRA GRANDE EM E.V.A 70X280MM PURPLEX";"";"PURPLEX";"UN";31,60;36,00;0,00;1.137,60;59,16;0,00;0,00;0,00;0,00;79,63;0,00;1.196,76
"000000001758-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/02/2026;"020065.21341";"CAVALETE DE PREPARAÇÃO AI 02";"";"ARCO IRIS (CAVELETES)";"UN";125,00;15,00;0,00;1.875,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.875,00
"000000001758-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/02/2026;"020065.85598";"CAVALETE DE PREPARAÇÃO C/ RODIZIO AI 07";"";"ARCO IRIS (CAVELETES)";"UN";235,00;2,00;0,00;470,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;470,00
"000000001758-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/02/2026;"020028.85594";"CAVALETE DE PREPARAÇÃO DOBRAVEL AI 06";"";"ARCO IRIS (CAVELETES)";"UN";190,00;3,00;0,00;570,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;570,00
"000000001758-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/02/2026;"020065.85596";"CAVALETE SUPORTE DISPENSADOR DE PAPEL AI 15";"";"ARCO IRIS (CAVELETES)";"UN";240,00;6,00;0,00;1.440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.440,00
"000000001772-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";09/04/2026;"020065.21341";"CAVALETE DE PREPARAÇÃO AI 02";"";"ARCO IRIS (CAVELETES)";"UN";125,00;10,00;0,00;1.250,00;0,00;0,00;202,52;0,00;0,00;0,00;0,00;1.250,00
"000000001772-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";09/04/2026;"020065.23700";"CAVALETE P/ PARA-CHOQUE AI 05";"";"ARCO IRIS (CAVELETES)";"UN";175,00;5,00;0,00;875,00;0,00;0,00;141,76;0,00;0,00;0,00;0,00;875,00
"000000001772-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";09/04/2026;"020028.85594";"CAVALETE DE PREPARAÇÃO DOBRAVEL AI 06";"";"ARCO IRIS (CAVELETES)";"UN";190,00;2,00;0,00;380,00;0,00;0,00;61,57;0,00;0,00;0,00;0,00;380,00
"000000001772-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";09/04/2026;"020065.85598";"CAVALETE DE PREPARAÇÃO C/ RODIZIO AI 07";"";"ARCO IRIS (CAVELETES)";"UN";235,00;2,00;0,00;470,00;0,00;0,00;76,15;0,00;0,00;0,00;0,00;470,00
"000000001772-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";09/04/2026;"020065.87260";"CAVALETE DE PREPARAÇÃO 4X1 (PORTA, TAMPA, CAPO E PARA-CHOQUE) C/ RODIZIO AI 11";"";"ARCO IRIS (CAVELETES)";"UN";400,00;5,00;0,00;2.000,00;0,00;0,00;324,03;0,00;0,00;0,00;0,00;2.000,00
"000000001793-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/06/2026;"020065.21341";"CAVALETE DE PREPARAÇÃO AI 02";"";"ARCO IRIS (CAVELETES)";"UN";125,00;10,00;0,00;1.250,00;0,00;0,00;281,81;0,00;0,00;0,00;0,00;1.250,00
"000000001793-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/06/2026;"020065.23700";"CAVALETE P/ PARA-CHOQUE AI 05";"";"ARCO IRIS (CAVELETES)";"UN";175,00;2,00;0,00;350,00;0,00;0,00;78,91;0,00;0,00;0,00;0,00;350,00
"000000001793-NF-009";"00000209 - CELSO CAVINI DIAS SERRALHERIA ME";23/06/2026;"020065.87260";"CAVALETE DE PREPARAÇÃO 4X1 (PORTA, TAMPA, CAPO E PARA-CHOQUE) C/ RODIZIO AI 11";"";"ARCO IRIS (CAVELETES)";"UN";400,00;5,00;0,00;2.000,00;0,00;0,00;450,89;0,00;0,00;0,00;0,00;2.000,00
"000000096808-NF-009";"00000261 - SOLUCAO ADESIVOS E SELANTES LTDA";09/01/2026;"020056.23708";"COLA PARA PARABRISA PRETO SACHE 600ML SOLUFIX";"";"SOLUÇÃO ADESIVOS";"UN";25,50;120,00;0,00;3.060,00;0,00;0,00;0,00;0,00;0,00;122,40;0,00;3.060,00
"000000096808-NF-009";"00000261 - SOLUCAO ADESIVOS E SELANTES LTDA";09/01/2026;"020056.21741";"COLA PARA PARABRISA PRETO TUBO 280ML SOLUFIX";"";"SOLUÇÃO ADESIVOS";"UN";15,40;120,00;0,00;1.848,00;0,00;0,00;0,00;0,00;0,00;73,92;0,00;1.848,00
"000000098673-NF-009";"00000261 - SOLUCAO ADESIVOS E SELANTES LTDA";10/03/2026;"020056.21741";"COLA PARA PARABRISA PRETO TUBO 280ML SOLUFIX";"";"SOLUÇÃO ADESIVOS";"UN";15,40;240,00;0,00;3.696,00;0,00;0,00;0,00;0,00;0,00;147,84;0,00;3.696,00
