UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000047";"NOGUEIRA E ARAUJO COMERCIO DE TINTAS LTDA";"AREA ESP 2A CONJ E LOTE 2/4";"GUARA II";"GUARA II";"DF";" ";"72220182";"";"05823235000288";"0744767700291";" ";"";09/02/2008;"61 33825351";""
"00000049";"NACIONAL TINTAS LTDA";"AV. T-2 N.";"VILA SOL NASCENTE";"GOIÂNIA";"GO";" ";"74410200";"";"37862638000141";"102591300";" ";"";15/02/2008;"62 32911000";"62 32913669"
"00000050";"AUTOCOAT BT";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";;"";""
"00000051";"CIATINTAS COMERCIO DE TINTAS LTDA";"AVENIDA ANHANGUERA N. 1885 QD C-2 LT";"S. LESTE UNIVERSITARIO";"GOIÂNIA";"GO";" ";"74711000";"";"06104179000103";"103697217";" ";"LEANDRO/JUNIOR";15/02/2008;"62 32021920";""
"00000052";"MANO TRANSPORTES LTDA";"RUA ANTONIO CARLOS QD 79 LT 2";"CAPUAVA";"GOIÂNIA";"GO";" ";"74450360";"";"01394768000150";"102850950";" ";"";27/05/2015;"   32951689";""
"00000053";"AA DISTRIBUIDORA E COMERCIO AUTOAMERICA LTDA ME";"SRIA QE 40 CONJUNTO H LOTE";"GUARA";"BRASILIA";"DF";" ";"71015127";"";"09324752000182";"0749828100109";" ";"CRISTIANE";04/03/2008;"61 33522871";"61 35682385"
"00000054";"IRMA INDUSTRIA LTDA";"RUA  CAVOUR";"VILA PRUDENTE";"SÃO PAULO";"SP";" ";"03136010";"";"05483236000140";"116667854112";" ";"FERNANDA";15/02/2008;"11 20617000";""
"00000055";"CASA DOS PARAFUSOS LTDA";"SIA TRECHO 03 LOTE";"SIA SUL";"BRASILIA";"DF";" ";"71200030";"";"00000463000153";"0732863600185";" ";"RAIMUNDO";11/03/2008;"61 34336800";""
"00000056";",";"Q 5C LOTE 07 LOJA";"SIA SUL";"BRASILIA";"DF";" ";"71200055";"";"07597580000195";"0747117700119";" ";"";15/02/2008;"61 33610722";""
"00000057";"P.P.J COMERCIO DE TINTAS LTDA";"SIA SUL TRECHO 02 LTS 835/845";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200020";"";"01648029000228";"0737280100330";" ";"";22/02/2008;"   34035000";""
"00000058";"V. CARDOSO INDUSTRIA & COM. DE CONFECCOES LTDA-ME";"SHC/AOS EA 04/05 BL D LOJA";"OCTOGONAL";"BRASILIA";"DF";" ";"70660049";"";"07040258000160";"0746111000141";" ";"";04/03/2008;"61 32340254";""
"00000059";"TINTAS ANCORA LTDA";"RUA EUCLIDES DA CUNHA,";"VILA EUCLIDES";"SAO BERNANDO DO CAMPO";"SP";" ";"09725550";"";"59109595000160";"635010833118";" ";"";15/05/2009;"11 41267373";""
"00000060";"MELHORES MARCAS COMERCIO E REPR.DE FERRAMENTAS LT";"SIA/SUL QUADRA 5C,AE";"SIA/SUL";"BRASILIA";"DF";" ";"71200055";"";"04789609000142";"0742887400108";" ";"NILSON";29/05/2008;"61 33610044";"61 32333091"
"00000061";"EQUIMAF S/A. EQUIPAMENTOS MAQ. E FERRAMENTAS";"SIA/SUL TRECHO 02 LT 995/1005";"GUARA";"BRASILIA";"DF";" ";"71200020";"";"38046579000104";"0733837000140";" ";"";04/03/2008;"61 33622900";""
"00000062";"JERMANDA COMERCIO DE TINTAS LTDA";"QNE 35-LOTE 23-LOJA 01-TAGUATINGA-DF";"TAGUATINGA";"TAGUATINGA";"DF";" ";"";"";"02691418000118";"0730724900183";" ";"";14/03/2008;"61 33541498";"61 33543821"
"00000063";"ADE COMERCIO DE TINTAS LTDA";"ADE CONJUNTO 19 LOTES 36/37";"AGUAS CLARAS";"BRASILIA";"DF";" ";"71989300";"";"07124007000164";"0746208900147";" ";"IRENE";05/03/2008;"61 33998444";"61 33998677"
"00000064";"SP EQUIPAMENTOS DE PROTECAO AO TRABALHO E MRO LTDA";"RUA VISCONDE DE INHAUMA-";"VILA DA SAUDE";"SÃO PAULO";"SP";" ";"04145030";"";"59609123000177";"115350796117";" ";"NATHALIA/LAERTE";28/04/2008;"11 43916644";"11 43916640"
"00000065";"ANAEROBICOS DO BRASIL ADESIVOS LTDA";"RUA ARNALDO SILVEIRA DE SOUZA, 12 AREA INDUSTRIAL";"FAZENDA SANTO ANTONIO";"SÃO JOSÉ";"SC";" ";"88104740";"";"04465057000117";"255052596";" ";"";03/05/2008;"48 30294600";"80 06004633"
"00000066";"L.G EQUIPAMENTOS PARA PINTURA LTDA EPP";"RUA CORIFEU DE AZEVEDO MARQUES,";"PALMITAL";"MARÍLIA";"SP";" ";"17511360";"";"03768633000132";"438191508110";" ";"JULIANA";27/06/2008;"14 34253582";""
"00000067";"YAC INDUSTRIA DE MAQUINA DE SOLDA LTDA EPP";"AV.BERTIOGA,1420-JD BERTIOGA";"VARZEA PAULISTA";"SÃO PAULO";"SP";" ";"13225000";"";"07232961000170";"712107317113";" ";"";09/05/2008;"11 45962715";""
"00000068";"DURAMAR INDUSTRIA E COMERCIO LTDA";"CSG 05 LOTES 04 E 15";"TAGUATINGA SUL";"TAGUATINGA SUL";"DF";" ";"72035505";"";"01021560000195";"0736501500109";" ";"";05/07/2008;"61 30336262";"61 30363317"
"00000069";"RCA FERRAMENTAS AUTOMOTIVAS LTDA";"QUADRA 02 CONJ A LOTES 1/3 LOJA 02 SOF SUL";"GUARA";"BRASILIA";"DF";" ";"71070087";"";"07651604000147";"0747136000160";" ";"TIAGO OU VITOR";18/08/2008;"61 39671156";"61 78139989"
"00000070";"CONFERE COMERCIO DE SEGURANCA ELETRONICA LTDA";"SAAN,QD 03-N320 PARTE A";"ASA NORTE";"BRASILIA";"DF";" ";"71220000";"";"26413146000152";"0731495500105";" ";"";21/08/2009;"61 34037200";"61 34037272"
"00000071";"BAND EQUIPAMENTOS E MAQUINAS REPUXADORAS LTDA EPP";"RUA JOSÉ RABELO PORTELLA Nº";"JD BERTIOGA";"VARZEA PTA";"SP";" ";"13225100";"";"00418604000152";"712026975116";" ";"CARLOS";18/08/2008;"11 46062407";"11 45950251"
"00000072";"PRIMEIRA LINHA COMERCIAL DE ROLAMENTOS LTDA";"QD 4C BLOCO D LOTE";"SIA SUL";"BRASILIA";"DF";" ";"71200045";"";"24907602000195";"0731320300182";" ";"ASSIS";10/05/2008;"61 34625000";""
"00000073";"S&C INDUSTRIA E COMERCIO DE ESTOPAS LTDA";"RUA SÃO PAULO Nº886 QD 03 LT";"JARDIN PETROPOLIS";"GOIÂNIA";"GO";" ";"74460020";"";"10254917000176";"104328967";" ";"SONIA MARIA CAMPOS";02/09/2008;"62 32976335";"62 35930114"
"00000074";"VECTRA DISTRIBUIDORA LTDA";"AV.CASTELO BRANCO Nº5033 QD 29 A LT";"SETOR RODOVIARIO";"GOIÂNIA";"GO";" ";"74430130";"";"05459758000106";"103576193";" ";"";23/09/2008;"62 35818187";"62 32952721"
"00000075";"CARLOS RAMALHO SOARES COMERCIO";"RUA RORAIMA N.20 LOTE";"SETOR URIAS MAGALHAES";"GOIÂNIA";"GO";" ";"74565360";"";"03326308000110";"103178813";" ";"";12/07/2008;"62 32102198";""
