Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
86600;CR BEM ESTAR PROT ANTIMOSQUITO 3,6L;5683984;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85876;CR BRILHO PARA TINTA INCOLOR 18L;5202601;800073;CORAL;34;AKZO NOBEL LTDA;30002;IMPERMEABILIZANTES
85875;CR BRILHO PARA TINTA INCOLOR 3.6L;5202600;800073;CORAL;34;AKZO NOBEL LTDA;30002;IMPERMEABILIZANTES
86827;CR CORAL MASTER AREIA 18L;5902221;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86828;CR CORAL MASTER AREIA 3,6L;5902222;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86835;CR CORAL MASTER BASE MF 0,8L;5902229;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86836;CR CORAL MASTER BASE MF 16L;5902230;800073;CORAL;534;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86834;CR CORAL MASTER BASE MF 3,2L;5902228;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86831;CR CORAL MASTER BASE P 0,8L;5902225;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86833;CR CORAL MASTER BASE P 16L;5902227;800073;CORAL;534;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86832;CR CORAL MASTER BASE P 3,2L;5902226;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86837;CR CORAL MASTER BASE T 0,8L;5902231;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86839;CR CORAL MASTER BASE T 16L;5902233;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
